Gene,Value
ADGRL2,0.752432108
ADGRL4,2.400567825
IFI44,1.392653515
DNAJB4,0.607608459
FUBP1,1.663616764
ZZZ3,0.619203452
RABGGTB,1.451589579
ZRANB2,0.799281068
ANKRD13C,0.451972826
SRSF11,2.004006104
WLS,0.741722176
TGS1,0.778758337
LYN,0.304983353
RPS20,43.75915662
CHCHD7,0.343347101
GM11808,1.999196969
IMPAD1,0.586884314
SDCBP,7.737341199
RAB2A,3.791694558
CHD7,1.100369935
PLEKHF2,0.364989733
GEM,2.928347266
FAM92A,0.390765113
TMEM64,0.587061145
RIPK2,0.447812662
WWP1,0.327376898
GGH,0.355861107
PNISR,0.848691605
NDUFAF4,0.823542711
CASP8AP2,0.51790411
MDN1,0.372426984
UBE2J1,0.682455878
PNRC1,8.351132169
RNGTT,0.309200753
AKIRIN2,1.04967256
ZFP292,0.499083219
DDX58,1.376997054
TOPORS,0.393816041
NDUFB6,1.041909186
DNAJA1,4.996287339
SMU1,0.95988513
B4GALT1,0.93653997
BAG1,1.743640338
CHMP5,1.342665103
UBE2R2,1.50870001
UBAP2,0.418445139
DCAF12,0.397424749
UBAP1,0.417897842
RPP25L,0.568476415
DCTN3,1.2076264
CCL21A,48.4150793
VCP,2.542481719
STOML2,0.473418054
FAM214B,0.345270117
RUSC2,0.507686106
TLN1,1.295138438
CREB3,0.589723066
GLIPR2,0.324213477
CLTA,5.367868094
ZCCHC7,0.396944667
TOMM5,1.104758383
EXOSC3,0.416496503
SLC25A51,0.400997796
SHB,0.927040501
NCBP1,0.343833611
ANP32B,3.028829987
COL15A1,0.318010841
TGFBR1,0.652607187
SEC61B,1.67925067
ERP44,0.530096815
MRPL50,0.871465161
RNF20,0.381196137
NIPSNAP3B,0.362030167
ABCA1,1.589302714
RAD23B,1.386385483
KLF4,4.503244251
CTNNAL1,0.815812282
AKAP2,0.984453507
TXN1,8.731826077
AI314180,0.618039234
UGCG,0.89884033
PTBP3,2.443264696
SLC31A2,0.343204362
SLC31A1,0.49056755
CDC26,0.467691492
RGS3,0.744468867
ATP6V1G1,3.530570871
TLE1,0.895088361
NFIB,1.695419792
TTC39B,0.771666734
PSIP1,0.334512448
CNTLN,0.306124688
ADAMTSL1,1.444783499
RRAGA,1.542608341
PLIN2,0.638421096
RPS6,11.02432939
ACER2,0.332623149
KLHL9,0.643524201
PLAA,0.411608998
TEK,1.114212759
MYSM1,0.394994189
JUN,5.888886384
NFIA,1.37319507
TM2D1,0.534375657
USP1,0.322908091
JAK1,4.959823622
LEPROT,0.73882368
LEPR,0.340501224
PDE4B,2.958409285
MIER1,1.435094777
PLPP3,14.46166229
TMEM59,3.473845989
MAGOH,2.002781752
0610037L13RIK,0.599941643
SCP2,0.833722932
ZCCHC11,0.390510037
PRPF38A,0.750585471
TXNDC12,0.683849549
KTI12,0.756395631
NRD1,0.601702289
OSBPL9,1.460344012
EPS15,0.364760747
RNF11,1.544033566
FAF1,0.324484859
CMPK1,1.897538215
EFCAB14,0.418229677
UQCRH,4.862712806
MAST2,0.382197604
GPBP1L1,0.322892405
NASP,0.777397293
AKR1A1,2.482437226
PRDX1,7.206352662
TOE1,0.329608508
RPS8,25.51419514
ATP6V0B,2.122452951
MED8,0.763210702
ELOVL1,0.560516329
TIE1,1.380522128
EBNA1BP2,1.351609429
SLC2A1,0.591667804
SVBP,2.451319619
YBX1,8.28432713
FOXJ3,0.381823038
HIVEP3,0.312130571
CTPS,0.440574169
SMAP2,0.376436816
ZMPSTE24,0.364893491
RLF,0.481689949
PPT1,0.323983925
CAP1,0.887362226
PPIE,0.371872165
PABPC4,0.43373103
MACF1,3.694244275
NDUFS5,1.302778044
AKIRIN1,1.014610962
RRAGC,0.649675066
UTP11,0.589483969
SF3A3,0.629899705
YRDC,1.847613553
GNL2,0.683639146
STK40,1.611559316
THRAP3,1.070446203
MAP7D1,1.454740761
TRAPPC3,0.505637015
PSMB2,4.367605548
ZMYM4,0.308894148
SFPQ,2.746593464
SMIM12,0.498307033
PHC2,2.180357428
AK2,0.741126946
RNF19B,1.592146369
YARS,1.395587283
C77080,0.409798285
RBBP4,1.014186597
BSDC1,0.394566769
MARCKSL1,5.118593808
HDAC1,0.412277015
FAM167B,0.439559541
EIF3I,2.087857562
TMEM234,1.014356882
TXLNA,0.538288048
KHDRBS1,1.417895073
PTP4A2,2.788815693
TINAGL1,2.447233569
ZCCHC17,0.610895004
SNRNP40,0.738114644
PUM1,1.315796913
SDC3,0.401159886
SRSF4,0.581753134
YTHDF2,0.903302407
SNHG12,2.090463706
TRNAU1AP,0.400095367
PHACTR4,0.305133654
SESN2,0.690549324
ATPIF1,1.135161609
DNAJC8,1.125092621
STX12,2.573730726
FAM76A,0.844463587
WASF2,1.240574259
TMEM222,0.391454038
NUDC,1.233238437
SFN,0.698675609
HMGN2,0.96752579
SH3BGRL3,2.911003319
ZFP593,0.783332292
GRRP1,2.806635797
STMN1,0.320620502
MTFR1L,0.330656762
TMEM57,0.321710733
TMEM50A,1.191406649
RSRP1,3.394379604
SYF2,1.805847541
CLIC4,13.51004826
SRRM1,1.862483708
SRSF10,2.271743225
PNRC2,0.808031353
FUCA1,0.576802025
ELOA,0.335255938
RPL11,22.51379155
ID3,16.85545736
HNRNPR,0.812539604
LUZP1,3.089713561
KDM1A,0.761455939
CDC42,6.792498388
HSPG2,1.725724195
ECE1,2.649240998
EIF4G3,0.69083591
HP1BP3,0.695138978
SH2D5,1.211161293
DDOST,1.234171371
PINK1,0.382132382
MUL1,0.332989898
CAMK2N1,0.59784621
NBL1,0.718399348
MINOS1,2.35790186
CAPZB,3.210715965
MRTO4,1.31915726
UBR4,0.48844883
RCC2,0.931947185
SDHB,1.178749396
NECAP2,0.867127766
SZRD1,0.747068765
DDI2,1.009487977
EFHD2,1.439777674
TMEM51,0.695724662
DHRS3,0.567621974
PLOD1,0.77261097
SRM,0.748427821
TARDBP,0.67373319
KIF1B,0.670384961
CTNNBIP1,0.705122764
SPSB1,1.750565129
ENO1,0.553262375
RERE,0.413960333
ERRFI1,1.679270678
PARK7,1.611644632
CAMTA1,0.445587528
VAMP3,1.258855873
DNAJC11,0.36422919
NOL9,0.416588402
RPL22,12.91213297
A430005L14RIK,0.423098887
TPRGL,1.401801417
RER1,1.143157688
SKI,1.378570737
GNB1,3.56291345
CDK11B,1.378435194
SSU72,1.194298364
